,SPY
2015-10-10,"['26.203000000000003', '27.755', '19.918', '-0.078', '13.128', '14.867', '10.422', '-0.16699999999999998', '573.0', '986.435', '420.51800000000003', '-0.983', '0.41200000000000003', '0.44299999999999995', '-0.04', '2015-10-10']"
2015-10-11,"['22.324', '28.039', '19.379', '-0.295', '13.874', '14.982000000000001', '10.14', '-0.109', '222.0', '981.602', '432.713', '-1.755', '0.495', '0.473', '0.01', '2015-10-11']"
2015-10-12,"['41.077', '29.581999999999997', '19.155', '0.6', '26.599', '16.122', '10.137', '1.034', '571.0', '957.187', '439.452', '-0.879', '0.371', '0.8340000000000001', '0.105', '2015-10-12']"
2015-10-13,"['33.177', '30.116999999999997', '18.678', '0.16399999999999998', '22.945999999999998', '16.555999999999997', '9.798', '0.652', '893.0', '929.475', '444.529', '-0.08199999999999999', '0.35700000000000004', '0.777', '0.257', '2015-10-13']"
2015-10-14,"['9.533', '29.081999999999997', '19.1', '-1.024', '4.4030000000000005', '15.645', '9.957', '-1.129', '1038.0', '927.932', '442.665', '0.249', '0.327', '1.224', '-0.07400000000000001', '2015-10-14']"
2015-10-15,"['18.664', '28.361', '18.445', '-0.526', '10.515999999999998', '15.04', '9.562999999999999', '-0.473', '925.0', '903.073', '429.852', '0.051', '0.332', '0.713', '-0.08199999999999999', '2015-10-15']"
2015-10-16,"['61.772', '29.72', '19.791', '1.62', '37.869', '16.01', '10.931', '2.0', '992.0', '906.71', '425.67', '0.2', '0.331', '0.871', '0.182', '2015-10-16']"
2015-10-17,"['34.286', '30.619', '18.205', '0.201', '19.095', '16.242', '9.721', '0.293', '474.0', '915.72', '410.63', '-1.0759999999999998', '0.40700000000000003', '0.47100000000000003', '-0.11', '2015-10-17']"
2015-10-18,"['10.156', '31.135', '18.067', '-1.161', '6.58', '16.441', '9.53', '-1.035', '375.0', '913.2389999999999', '407.14599999999996', '-1.3219999999999998', '0.304', '0.615', '-0.001', '2015-10-18']"
2015-10-19,"['24.883000000000003', '33.137', '14.109000000000002', '-0.585', '21.39', '17.783', '7.7139999999999995', '0.46799999999999997', '542.0', '862.4830000000001', '384.74699999999996', '-0.833', '0.39899999999999997', '0.701', '0.653', '2015-10-19']"
2015-10-20,"['48.053000000000004', '33.015', '14.856', '1.012', '32.251999999999995', '17.673', '8.402000000000001', '1.735', '798.0', '831.1460000000001', '375.51599999999996', '-0.08800000000000001', '0.415', '0.79', '-0.245', '2015-10-20']"
2015-10-21,"['21.927', '31.799', '14.674000000000001', '-0.6729999999999999', '12.011', '16.813', '7.8229999999999995', '-0.614', '890.0', '809.56', '361.18300000000005', '0.223', '0.316', '1.129', '0.23399999999999999', '2015-10-21']"
2015-10-22,"['20.713', '31.337', '14.557', '-0.73', '11.614', '16.632', '7.827999999999999', '-0.6409999999999999', '1125.0', '799.421', '348.55300000000005', '0.934', '0.3', '1.7790000000000001', '0.031', '2015-10-22']"
2015-10-23,"['56.458999999999996', '31.656999999999996', '15.468', '1.6030000000000002', '37.711999999999996', '17.202', '9.344', '2.195', '1314.0', '800.669', '345.04900000000004', '1.4880000000000002', '0.29600000000000004', '1.9340000000000002', '0.113', '2015-10-23']"
2015-10-24,"['38.329', '32.486', '14.417', '0.405', '23.086', '17.456', '8.436', '0.667', '582.0', '815.541', '329.371', '-0.7090000000000001', '0.371', '0.494', '-0.039', '2015-10-24']"
2015-10-25,"['19.254', '32.955999999999996', '13.997', '-0.9790000000000001', '11.023', '17.56', '8.121', '-0.805', '390.0', '821.91', '328.217', '-1.3159999999999998', '0.287', '0.573', '-0.09300000000000001', '2015-10-25']"
2015-10-26,"['31.47', '32.34', '13.24', '-0.066', '23.67', '17.507', '7.848', '0.785', '532.0', '790.541', '324.921', '-0.7959999999999999', '0.38299999999999995', '0.753', '0.011000000000000001', '2015-10-26']"
2015-10-27,"['28.371', '30.752', '12.455', '-0.191', '16.352', '16.494', '7.181', '-0.02', '700.0', '764.199', '322.957', '-0.19899999999999998', '0.36700000000000005', '0.631', '0.051', '2015-10-27']"
2015-10-28,"['35.288000000000004', '31.162', '12.538', '0.32899999999999996', '20.059', '16.704', '7.256', '0.462', '872.0', '751.0160000000001', '310.37', '0.39', '0.32799999999999996', '0.853', '0.151', '2015-10-28']"
2015-10-29,"['31.705', '30.645', '12.466', '0.085', '20.526', '16.47', '7.229', '0.561', '1181.0', '755.3810000000001', '315.437', '1.349', '0.301', '1.714', '-0.073', '2015-10-29']"
2015-10-30,"['31.52', '30.604', '12.46', '0.07400000000000001', '21.241', '16.553', '7.265', '0.645', '790.0', '754.153', '309.793', '0.11599999999999999', '0.332', '0.759', '0.174', '2015-10-30']"
2015-10-31,"['24.776', '30.927', '12.453', '-0.494', '11.422', '16.425', '7.365', '-0.679', '626.0', '774.857', '287.58799999999997', '-0.518', '0.32899999999999996', '0.608', '-0.075', '2015-10-31']"
2015-11-01,"['10.238', '29.935', '13.269', '-1.484', '8.581', '16.0', '7.457000000000001', '-0.995', '287.0', '775.795', '292.44599999999997', '-1.671', '0.369', '0.47600000000000003', '0.078', '2015-11-01']"
2015-11-02,"['25.706', '29.869', '13.322000000000001', '-0.313', '19.747', '16.361', '7.468999999999999', '0.45299999999999996', '475.0', '753.015', '297.46299999999997', '-0.935', '0.4', '0.623', '0.684', '2015-11-02']"
2015-11-03,"['50.68', '31.018', '14.312000000000001', '1.374', '29.092', '17.051', '7.819', '1.54', '935.0', '747.37', '302.777', '0.62', '0.33899999999999997', '0.833', '0.078', '2015-11-03']"
2015-11-04,"['45.104', '32.478', '14.436', '0.875', '25.713', '17.86', '7.59', '1.035', '938.0', '744.378', '300.401', '0.645', '0.336', '1.4869999999999999', '-0.127', '2015-11-04']"
2015-11-05,"['37.18', '32.001999999999995', '14.091', '0.36700000000000005', '20.187', '17.607', '7.433', '0.34700000000000003', '854.0', '737.831', '295.914', '0.39299999999999996', '0.311', '1.508', '-0.162', '2015-11-05']"
2015-11-06,"['33.433', '31.451999999999998', '13.755', '0.14400000000000002', '21.936999999999998', '17.604', '7.407', '0.585', '918.0', '749.02', '296.594', '0.57', '0.326', '1.392', '0.37799999999999995', '2015-11-06']"
2015-11-07,"['22.796', '31.579', '13.297', '-0.66', '11.815', '17.433', '7.098', '-0.792', '547.0', '755.6030000000001', '286.54900000000004', '-0.728', '0.36', '0.445', '0.0', '2015-11-07']"
2015-11-08,"['16.649', '31.945', '12.994000000000002', '-1.177', '10.41', '17.49', '7.02', '-1.008', '187.0', '752.784', '302.986', '-1.867', '0.551', '0.455', '-0.004', '2015-11-08']"
2015-11-09,"['16.517', '30.724', '13.027000000000001', '-1.091', '9.896', '16.925', '7.081', '-0.993', '509.0', '741.179', '306.996', '-0.7559999999999999', '0.373', '0.809', '-0.08800000000000001', '2015-11-09']"
2015-11-10,"['14.234000000000002', '29.656', '13.065999999999999', '-1.18', '7.297999999999999', '16.484', '7.152', '-1.284', '965.0', '737.807', '319.905', '0.71', '0.317', '1.163', '0.016', '2015-11-10']"
2015-11-11,"['35.056999999999995', '30.579', '12.652999999999999', '0.354', '18.755', '17.116', '6.6339999999999995', '0.247', '721.0', '725.154', '314.823', '-0.013000000000000001', '0.434', '0.622', '-0.324', '2015-11-11']"
2015-11-12,"['44.052', '30.346999999999998', '12.329', '1.112', '27.519000000000002', '17.132', '6.523', '1.5919999999999999', '911.0', '703.448', '282.994', '0.733', '0.321', '1.6440000000000001', '0.583', '2015-11-12']"
2015-11-13,"['7.379', '27.695', '12.388', '-1.64', '2.622', '15.390999999999998', '6.669', '-1.915', '1261.0', '722.705', '306.66900000000004', '1.755', '0.304', '1.976', '0.038', '2015-11-13']"
2015-11-14,"['5.824', '27.208000000000002', '12.763', '-1.676', '3.4139999999999997', '14.915', '7.136', '-1.6119999999999999', '807.0', '741.2819999999999', '292.507', '0.225', '0.369', '1.227', '-0.099', '2015-11-14']"
2015-11-15,"['3.035', '26.35', '13.588', '-1.716', '1.7819999999999998', '14.231', '7.683', '-1.62', '217.0', '740.895', '314.51', '-1.666', '0.5529999999999999', '0.49', '0.032', '2015-11-15']"
2015-11-16,"['17.56', '25.4', '13.267000000000001', '-0.591', '11.72', '13.782', '7.486000000000001', '-0.276', '585.0', '734.9060000000001', '315.245', '-0.47600000000000003', '0.41', '1.2990000000000002', '0.08800000000000001', '2015-11-16']"
2015-11-17,"['51.137', '26.480999999999998', '14.585999999999999', '1.69', '31.576', '14.535', '8.559', '1.9909999999999999', '1060.0', '739.91', '326.47900000000004', '0.98', '0.303', '1.7109999999999999', '0.272', '2015-11-17']"
2015-11-18,"['27.173000000000002', '25.891', '13.872', '0.092', '18.044', '14.168', '7.83', '0.495', '878.0', '726.16', '313.375', '0.485', '0.313', '1.095', '0.17600000000000002', '2015-11-18']"
2015-11-19,"['64.814', '27.526', '16.439', '2.2680000000000002', '37.785', '14.788', '9.382', '2.451', '1031.0', '738.698', '321.343', '0.91', '0.29600000000000004', '1.601', '0.125', '2015-11-19']"
2015-11-20,"['48.2', '28.612', '17.253', '1.135', '32.455999999999996', '15.619000000000002', '9.988', '1.686', '770.0', '739.293', '320.061', '0.096', '0.35700000000000004', '0.682', '0.006999999999999999', '2015-11-20']"
2015-11-21,"['37.545', '29.741', '16.506', '0.473', '20.169', '15.815', '9.307', '0.46799999999999997', '484.0', '746.3', '308.296', '-0.851', '0.409', '0.48100000000000004', '0.019', '2015-11-21']"
2015-11-22,"['13.402999999999999', '29.81', '16.994', '-0.965', '9.625', '15.804', '9.417', '-0.6559999999999999', '168.0', '741.082', '321.008', '-1.785', '0.637', '0.452', '-0.009000000000000001', '2015-11-22']"
2015-11-23,"['24.619', '28.397', '16.0', '-0.23600000000000002', '17.807000000000002', '15.267000000000001', '9.009', '0.282', '384.0', '713.684', '326.246', '-1.011', '0.461', '0.535', '0.064', '2015-11-23']"
2015-11-24,"['19.002', '26.660999999999998', '15.324000000000002', '-0.5', '12.692', '14.255999999999998', '8.433', '-0.185', '699.0', '698.8939999999999', '327.70099999999996', '0.0', '0.349', '0.664', '0.094', '2015-11-24']"
2015-11-25,"['35.755', '26.875', '15.300999999999998', '0.58', '21.561', '14.37', '8.551', '0.841', '746.0', '695.056', '326.95', '0.156', '0.33', '1.127', '0.287', '2015-11-25']"
2015-11-26,"['25.849', '26.695', '15.220999999999998', '-0.055999999999999994', '13.649000000000001', '14.139000000000001', '8.407', '-0.057999999999999996', '384.0', '670.915', '331.58', '-0.865', '0.445', '0.495', '-0.156', '2015-11-26']"
2015-11-27,"['5.101', '25.701', '16.028', '-1.285', '-0.221', '13.539000000000001', '9.044', '-1.5219999999999998', '279.0', '652.573', '338.401', '-1.104', '0.441', '0.593', '-0.18', '2015-11-27']"
2015-11-28,"['14.933', '25.677', '15.924000000000001', '-0.675', '8.361', '13.526', '8.905', '-0.58', '238.0', '651.424', '339.62300000000005', '-1.217', '0.48700000000000004', '0.46', '0.184', '2015-11-28']"
