,SPY
2016-10-30,"['2.8819999999999997', '1.61', '10.335', '0.12300000000000001', '3.154', '1.212', '5.851', '0.332', '181.0', '515.5840000000001', '225.217', '-1.486', '0.442', '0.522', '0.17600000000000002', '2016-10-30']"
2016-10-31,"['-3.237', '0.45299999999999996', '9.248', '-0.39899999999999997', '-1.909', '0.585', '5.502999999999999', '-0.45299999999999996', '488.0', '510.235', '220.29', '-0.10099999999999999', '0.408', '1.5219999999999998', '-0.341', '2016-10-31']"
2016-11-01,"['-0.768', '1.22', '8.641', '-0.23', '1.045', '1.064', '5.171', '-0.004', '675.0', '488.853', '198.90200000000002', '0.9359999999999999', '0.36200000000000004', '1.483', '0.35100000000000003', '2016-11-01']"
2016-11-02,"['-19.587', '0.45', '9.738', '-2.0580000000000003', '-11.401', '0.843', '5.551', '-2.206', '1040.0', '507.714', '233.19799999999998', '2.283', '0.434', '2.09', '-0.369', '2016-11-02']"
2016-11-03,"['-8.6', '1.0590000000000002', '8.715', '-1.1079999999999999', '-4.484', '1.2429999999999999', '4.857', '-1.179', '757.0', '505.389', '230.451', '1.092', '0.47600000000000003', '1.631', '0.054000000000000006', '2016-11-03']"
2016-11-04,"['-10.612', '0.606', '9.258', '-1.212', '-3.165', '1.237', '4.8469999999999995', '-0.9079999999999999', '962.0', '529.398', '253.0', '1.71', '0.332', '2.181', '0.142', '2016-11-04']"
2016-11-05,"['-12.187000000000001', '-0.424', '9.828', '-1.197', '-6.31', '0.631', '5.255', '-1.321', '555.0', '541.242', '228.757', '0.06', '0.42700000000000005', '1.15', '0.022000000000000002', '2016-11-05']"
2016-11-06,"['5.202000000000001', '-0.21899999999999997', '9.689', '0.56', '3.082', '0.625', '5.153', '0.47700000000000004', '217.0', '545.082', '238.315', '-1.3769999999999998', '0.447', '0.537', '0.085', '2016-11-06']"
2016-11-07,"['16.625', '0.542', '10.36', '1.5519999999999998', '11.427999999999999', '1.002', '5.675', '1.837', '604.0', '548.669', '237.77700000000002', '0.233', '0.555', '1.76', '-0.244', '2016-11-07']"
2016-11-08,"['27.05', '1.284', '11.693', '2.2030000000000003', '12.98', '1.202', '5.992999999999999', '1.965', '879.0', '560.232', '250.872', '1.271', '0.371', '1.808', '0.23600000000000002', '2016-11-08']"
2016-11-09,"['20.06', '1.885', '12.412', '1.464', '13.151', '1.594', '6.499', '1.778', '1451.0', '609.058', '326.562', '2.5780000000000003', '0.315', '2.517', '0.27899999999999997', '2016-11-09']"
2016-11-10,"['45.013000000000005', '4.232', '15.614', '2.612', '24.903000000000002', '2.747', '8.129', '2.7260000000000004', '1030.0', '624.144', '317.879', '1.2770000000000001', '0.35700000000000004', '1.6540000000000001', '-0.059000000000000004', '2016-11-10']"
2016-11-11,"['19.827', '4.959', '15.991', '0.93', '9.826', '2.9960000000000004', '8.087', '0.845', '651.0', '637.249', '317.74', '0.043', '0.366', '0.609', '0.07200000000000001', '2016-11-11']"
2016-11-12,"['12.833', '5.647', '16.298', '0.441', '6.712999999999999', '3.324', '8.236', '0.41100000000000003', '435.0', '655.9580000000001', '301.35', '-0.733', '0.40700000000000003', '0.479', '-0.019', '2016-11-12']"
2016-11-13,"['1.73', '5.186', '16.255', '-0.213', '1.538', '3.062', '8.2', '-0.18600000000000003', '200.0', '654.613', '305.155', '-1.49', '0.485', '0.498', '0.003', '2016-11-13']"
2016-11-14,"['13.692', '4.928', '15.927', '0.55', '9.754', '3.03', '8.07', '0.833', '409.0', '649.747', '307.724', '-0.782', '0.418', '0.544', '0.13', '2016-11-14']"
2016-11-15,"['9.474', '5.3839999999999995', '15.655', '0.261', '7.284', '3.3819999999999997', '7.754', '0.503', '577.0', '647.362', '311.11', '-0.226', '0.345', '0.45799999999999996', '0.055999999999999994', '2016-11-15']"
2016-11-16,"['21.258000000000003', '6.185', '16.057000000000002', '0.9390000000000001', '9.881', '3.595', '7.851', '0.8009999999999999', '702.0', '654.568', '310.705', '0.153', '0.385', '0.746', '-0.02', '2016-11-16']"
2016-11-17,"['12.392999999999999', '7.284', '15.6', '0.327', '7.931', '4.087', '7.665', '0.502', '631.0', '652.898', '310.618', '-0.07', '0.32299999999999995', '0.6559999999999999', '0.013000000000000001', '2016-11-17']"
2016-11-18,"['7.329', '7.917999999999999', '15.289000000000001', '-0.039', '5.513', '4.423', '7.45', '0.146', '701.0', '655.038', '309.327', '0.149', '0.321', '0.787', '-0.08800000000000001', '2016-11-18']"
2016-11-19,"['13.824000000000002', '8.677', '15.255', '0.337', '7.787000000000001', '4.809', '7.431', '0.401', '437.0', '665.966', '294.868', '-0.777', '0.375', '0.498', '0.042', '2016-11-19']"
2016-11-20,"['2.873', '8.797', '15.197000000000001', '-0.39', '1.611', '4.894', '7.372000000000001', '-0.445', '201.0', '662.212', '302.253', '-1.526', '0.522', '0.43200000000000005', '-0.012', '2016-11-20']"
2016-11-21,"['20.413', '9.985', '15.16', '0.688', '13.834000000000001', '5.591', '7.546', '1.092', '386.0', '647.156', '306.402', '-0.852', '0.505', '0.524', '-0.111', '2016-11-21']"
2016-11-22,"['45.621', '12.705', '16.28', '2.022', '25.424', '6.912999999999999', '8.308', '2.228', '690.0', '625.857', '295.265', '0.217', '0.349', '0.695', '0.053', '2016-11-22']"
2016-11-23,"['26.16', '14.669', '15.149000000000001', '0.759', '14.822000000000001', '7.8229999999999995', '7.711', '0.9079999999999999', '555.0', '613.715', '292.803', '-0.201', '0.373', '0.547', '0.066', '2016-11-23']"
2016-11-24,"['9.308', '15.857000000000001', '13.693', '-0.478', '4.346', '8.262', '7.013999999999999', '-0.5579999999999999', '401.0', '591.7959999999999', '291.943', '-0.654', '0.35700000000000004', '0.49', '0.01', '2016-11-24']"
2016-11-25,"['15.842', '17.235', '12.267999999999999', '-0.114', '11.718', '9.15', '6.231', '0.41200000000000003', '301.0', '573.52', '294.468', '-0.925', '0.319', '0.591', '0.037000000000000005', '2016-11-25']"
2016-11-26,"['14.573', '17.573', '11.927', '-0.251', '7.914', '9.204', '6.001', '-0.215', '272.0', '573.09', '294.42', '-1.023', '0.478', '0.45899999999999996', '-0.005', '2016-11-26']"
2016-11-27,"['8.22', '17.42', '12.078', '-0.762', '5.092', '9.052', '6.067', '-0.653', '169.0', '558.566', '304.481', '-1.2790000000000001', '0.479', '0.498', '-0.027000000000000003', '2016-11-27']"
2016-11-28,"['9.972999999999999', '16.505', '11.914000000000001', '-0.5479999999999999', '7.362', '8.734', '6.025', '-0.228', '444.0', '532.121', '287.013', '-0.307', '0.39399999999999996', '0.701', '-0.21', '2016-11-28']"
2016-11-29,"['15.218', '16.204', '11.897', '-0.083', '10.145', '8.559', '6.077000000000001', '0.261', '721.0', '499.798', '238.237', '0.9279999999999999', '0.375', '1.4769999999999999', '0.171', '2016-11-29']"
2016-11-30,"['23.886', '15.214', '9.99', '0.868', '15.515999999999998', '8.064', '5.229', '1.425', '653.0', '479.504', '200.52200000000002', '0.865', '0.397', '1.7', '0.248', '2016-11-30']"
2016-12-01,"['3.509', '14.119000000000002', '10.03', '-1.058', '0.423', '7.308', '5.199', '-1.324', '722.0', '479.319', '199.51', '1.216', '0.392', '1.8259999999999998', '-0.899', '2016-12-01']"
2016-12-02,"['-12.737', '13.147', '11.617', '-2.228', '-5.803', '6.83', '5.891', '-2.144', '667.0', '488.19800000000004', '202.577', '0.883', '0.33899999999999997', '1.253', '0.18600000000000003', '2016-12-02']"
2016-12-03,"['3.378', '13.127', '11.76', '-0.8290000000000001', '2.638', '6.776', '6.086', '-0.68', '379.0', '497.76300000000003', '195.865', '-0.606', '0.43', '0.47700000000000004', '0.087', '2016-12-03']"
2016-12-04,"['0.866', '12.742', '12.044', '-0.986', '0.539', '6.517', '6.265', '-0.9540000000000001', '196.0', '493.01599999999996', '203.2', '-1.462', '0.408', '0.529', '0.06', '2016-12-04']"
2016-12-05,"['13.03', '12.825999999999999', '11.98', '0.017', '10.436', '6.707000000000001', '6.327000000000001', '0.589', '359.0', '480.783', '203.64700000000002', '-0.598', '0.44299999999999995', '0.809', '0.345', '2016-12-05']"
2016-12-06,"['10.142000000000001', '12.029000000000002', '11.902000000000001', '-0.159', '5.307', '6.261', '6.275', '-0.152', '505.0', '468.49699999999996', '201.416', '0.18100000000000002', '0.382', '0.664', '0.057', '2016-12-06']"
2016-12-07,"['20.969', '12.806', '12.091', '0.675', '12.759', '6.724', '6.441', '0.937', '565.0', '467.11', '199.65400000000002', '0.49', '0.358', '1.236', '0.009000000000000001', '2016-12-07']"
2016-12-08,"['38.003', '14.087', '13.312999999999999', '1.796', '20.531', '7.303', '7.082000000000001', '1.868', '838.0', '474.972', '211.74099999999999', '1.714', '0.369', '1.906', '-0.019', '2016-12-08']"
2016-12-09,"['25.191', '14.69', '13.585999999999999', '0.773', '14.703', '7.6370000000000005', '7.222', '0.978', '646.0', '480.648', '212.06599999999997', '0.78', '0.364', '1.263', '0.027999999999999997', '2016-12-09']"
2016-12-10,"['26.061', '15.805', '13.57', '0.7559999999999999', '13.565', '8.168', '7.16', '0.754', '450.0', '492.639', '203.084', '-0.21', '0.447', '0.652', '-0.027000000000000003', '2016-12-10']"
2016-12-11,"['9.996', '15.411', '13.527999999999999', '-0.4', '6.754', '7.952999999999999', '7.084', '-0.16899999999999998', '249.0', '491.56199999999995', '205.918', '-1.178', '0.39', '0.623', '-0.017', '2016-12-11']"
2016-12-12,"['12.689', '13.855', '11.613', '-0.1', '8.793', '7.221', '6.0920000000000005', '0.258', '406.0', '477.214', '200.43400000000003', '-0.355', '0.414', '1.305', '0.204', '2016-12-12']"
2016-12-13,"['15.485999999999999', '13.263', '11.198', '0.19899999999999998', '12.562999999999999', '7.127000000000001', '6.023', '0.903', '655.0', '480.81800000000004', '205.334', '0.848', '0.348', '1.6840000000000002', '-0.212', '2016-12-13']"
2016-12-14,"['23.781', '13.85', '11.465', '0.866', '10.667', '7.325', '5.9910000000000005', '0.5579999999999999', '693.0', '491.028', '208.976', '0.966', '0.319', '1.76', '0.027000000000000003', '2016-12-14']"
2016-12-15,"['-1.0070000000000001', '13.343', '12.214', '-1.175', '1.2', '7.147', '6.308', '-0.943', '862.0', '523.346', '218.90400000000002', '1.547', '0.325', '1.795', '-0.008', '2016-12-15']"
2016-12-16,"['12.908', '12.925999999999998', '12.363', '-0.002', '8.377', '6.976', '6.481', '0.21600000000000003', '690.0', '540.757', '214.449', '0.696', '0.297', '1.4869999999999999', '0.201', '2016-12-16']"
2016-12-17,"['9.992', '13.144', '12.341', '-0.255', '5.944', '7.112', '6.481', '-0.18', '444.0', '553.502', '198.396', '-0.552', '0.428', '0.54', '0.019', '2016-12-17']"
2016-12-18,"['5.294', '12.995', '12.399000000000001', '-0.621', '3.661', '7.077000000000001', '6.481', '-0.527', '167.0', '547.79', '210.111', '-1.8119999999999998', '0.401', '0.44', '-0.031', '2016-12-18']"
2016-12-19,"['5.939', '12.499', '12.458', '-0.527', '3.3480000000000003', '6.827999999999999', '6.5329999999999995', '-0.5329999999999999', '388.0', '531.367', '206.562', '-0.6940000000000001', '0.374', '0.7659999999999999', '0.19399999999999998', '2016-12-19']"
2016-12-20,"['10.665', '11.901', '12.235', '-0.10099999999999999', '9.963', '6.695', '6.466', '0.505', '532.0', '521.539', '207.24599999999998', '0.05', '0.37', '0.7390000000000001', '0.262', '2016-12-20']"
2016-12-21,"['9.788', '11.696', '12.238', '-0.156', '5.405', '6.497000000000001', '6.376', '-0.171', '517.0', '511.097', '202.24599999999998', '0.028999999999999998', '0.348', '1.1840000000000002', '-0.079', '2016-12-21']"
2016-12-22,"['-5.7860000000000005', '12.359000000000002', '11.488', '-1.579', '-2.872', '6.81', '5.917000000000001', '-1.636', '529.0', '503.67', '197.183', '0.128', '0.342', '1.213', '0.07', '2016-12-22']"
2016-12-23,"['5.87', '12.589', '11.254000000000001', '-0.597', '5.09', '7.025', '5.752999999999999', '-0.336', '464.0', '504.977', '195.957', '-0.209', '0.39', '0.657', '-0.142', '2016-12-23']"
2016-12-24,"['6.555', '12.817', '11.068', '-0.5660000000000001', '3.4960000000000004', '7.191', '5.608', '-0.659', '256.0', '509.05699999999996', '191.354', '-1.3219999999999998', '0.488', '0.41700000000000004', '0.132', '2016-12-24']"
2016-12-25,"['4.933', '12.624', '11.173', '-0.688', '2.6660000000000004', '7.056', '5.697', '-0.7709999999999999', '81.0', '500.605', '206.416', '-2.033', '0.37', '0.45', '-0.013999999999999999', '2016-12-25']"
2016-12-26,"['6.183', '12.11', '11.206', '-0.529', '3.573', '6.827999999999999', '5.751', '-0.5660000000000001', '89.0', '477.76599999999996', '225.639', '-1.723', '0.494', '0.507', '0.051', '2016-12-26']"
2016-12-27,"['3.717', '11.377', '11.18', '-0.685', '3.97', '6.5329999999999995', '5.704', '-0.449', '250.0', '462.085', '229.735', '-0.9229999999999999', '0.48', '0.6659999999999999', '-0.045', '2016-12-27']"
2016-12-28,"['14.297', '10.14', '9.275', '0.44799999999999995', '6.851', '5.807', '4.793', '0.218', '501.0', '444.49300000000005', '217.826', '0.259', '0.315', '1.433', '0.302', '2016-12-28']"
2016-12-29,"['-9.399', '8.434', '9.656', '-1.847', '-4.776', '4.921', '5.033', '-1.9269999999999998', '546.0', '437.965', '213.5', '0.506', '0.363', '1.446', '-0.28300000000000003', '2016-12-29']"
2016-12-30,"['3.33', '7.392', '8.601', '-0.47200000000000003', '4.223', '4.553999999999999', '4.5169999999999995', '-0.073', '507.0', '439.64', '213.86599999999999', '0.315', '0.373', '1.147', '0.15', '2016-12-30']"
2016-12-31,"['0.8420000000000001', '6.801', '8.74', '-0.682', '1.324', '4.243', '4.558', '-0.64', '411.0', '446.67900000000003', '209.2', '-0.171', '0.43799999999999994', '0.743', '0.027999999999999997', '2016-12-31']"
2017-01-01,"['-1.706', '6.0760000000000005', '8.877', '-0.877', '-0.495', '3.7769999999999997', '4.638', '-0.9209999999999999', '117.0', '436.92400000000004', '221.94099999999997', '-1.4409999999999998', '0.521', '0.537', '-0.033', '2017-01-01']"
2017-01-02,"['6.6979999999999995', '5.736000000000001', '8.503', '0.113', '4.851', '3.513', '4.302', '0.311', '164.0', '414.615', '224.85', '-1.115', '0.46299999999999997', '0.551', '0.064', '2017-01-02']"
2017-01-03,"['7.247999999999999', '4.7139999999999995', '6.718', '0.377', '4.06', '3.0060000000000002', '3.549', '0.297', '351.0', '395.26599999999996', '212.343', '-0.20800000000000002', '0.45899999999999996', '1.045', '-0.304', '2017-01-03']"
2017-01-04,"['7.7860000000000005', '5.212999999999999', '6.319', '0.40700000000000003', '7.38', '3.3489999999999998', '3.4530000000000003', '1.167', '529.0', '375.93', '190.49200000000002', '0.804', '0.37799999999999995', '1.36', '0.445', '2017-01-04']"
2017-01-05,"['25.913', '5.7', '7.68', '2.6319999999999997', '13.610999999999999', '3.38', '3.888', '2.6310000000000002', '576.0', '372.49300000000005', '184.50799999999998', '1.103', '0.354', '1.432', '-0.32799999999999996', '2017-01-05']"
2017-01-06,"['8.817', '5.846', '8.186', '0.363', '6.837000000000001', '3.534', '4.1739999999999995', '0.7909999999999999', '511.0', '372.89599999999996', '183.72099999999998', '0.752', '0.368', '1.2770000000000001', '0.12300000000000001', '2017-01-06']"
2017-01-07,"['17.317', '6.365', '8.603', '1.273', '8.661', '3.6889999999999996', '4.29', '1.159', '443.0', '385.42199999999997', '178.447', '0.32299999999999995', '0.46299999999999997', '1.147', '-0.048', '2017-01-07']"
2017-01-08,"['-0.34299999999999997', '6.147', '8.927', '-0.727', '0.215', '3.612', '4.458', '-0.762', '151.0', '378.691', '187.294', '-1.216', '0.49700000000000005', '0.5429999999999999', '0.08800000000000001', '2017-01-08']"
2017-01-09,"['14.05', '6.627999999999999', '9.062999999999999', '0.8190000000000001', '9.581', '3.929', '4.649', '1.216', '285.0', '367.594', '184.658', '-0.447', '0.484', '0.611', '0.235', '2017-01-09']"
2017-01-10,"['15.517999999999999', '6.52', '8.907', '1.01', '11.122', '4.0089999999999995', '4.724', '1.506', '480.0', '362.42', '184.59', '0.637', '0.375', '1.173', '0.495', '2017-01-10']"
2017-01-11,"['14.492', '7.457000000000001', '8.716000000000001', '0.807', '7.047999999999999', '4.396', '4.434', '0.598', '522.0', '361.76', '184.292', '0.8690000000000001', '0.354', '1.47', '-0.158', '2017-01-11']"
2017-01-12,"['5.41', '7.531000000000001', '8.824', '-0.24', '0.902', '4.208', '4.526', '-0.73', '696.0', '373.656', '198.222', '1.626', '0.316', '1.8430000000000002', '-0.027000000000000003', '2017-01-12']"
2017-01-13,"['10.419', '7.956', '8.816', '0.27899999999999997', '7.356', '4.625', '4.485', '0.609', '616.0', '386.501', '199.511', '1.15', '0.349', '1.784', '0.062', '2017-01-13']"
2017-01-14,"['9.097000000000001', '7.928999999999999', '8.795', '0.133', '4.784', '4.622', '4.415', '0.037000000000000005', '327.0', '400.58099999999996', '189.713', '-0.38799999999999996', '0.465', '0.607', '-0.081', '2017-01-14']"
2017-01-15,"['9.26', '8.147', '8.796', '0.126', '5.983', '4.7669999999999995', '4.417', '0.275', '159.0', '407.131', '183.801', '-1.35', '0.384', '0.508', '0.008', '2017-01-15']"
2017-01-16,"['4.246', '8.198', '8.726', '-0.45299999999999996', '2.535', '4.756', '4.408', '-0.504', '167.0', '405.531', '185.0', '-1.2890000000000001', '0.431', '0.513', '-0.049', '2017-01-16']"
2017-01-17,"['0.9209999999999999', '7.436', '8.599', '-0.758', '0.306', '4.327', '4.427', '-0.9079999999999999', '366.0', '400.12300000000005', '184.44299999999998', '-0.185', '0.396', '1.278', '-0.35', '2017-01-17']"
2017-01-18,"['-0.85', '7.907', '7.974', '-1.0979999999999999', '0.768', '4.629', '4.037', '-0.956', '560.0', '395.87199999999996', '186.00900000000001', '0.882', '0.33799999999999997', '1.465', '0.337', '2017-01-18']"
2017-01-19,"['0.324', '7.7989999999999995', '8.091000000000001', '-0.924', '-0.871', '4.395', '4.237', '-1.2429999999999999', '490.0', '397.074', '187.312', '0.496', '0.341', '1.3880000000000001', '0.095', '2017-01-19']"
2017-01-20,"['-8.958', '7.314', '8.838', '-1.841', '-0.637', '4.348', '4.3', '-1.159', '624.0', '405.07199999999995', '192.452', '1.138', '0.369', '1.865', '-0.377', '2017-01-20']"
2017-01-21,"['-0.738', '7.087999999999999', '9.276', '-0.8440000000000001', '0.9079999999999999', '4.177', '4.61', '-0.7090000000000001', '436.0', '418.106', '178.192', '0.1', '0.431', '1.367', '0.07400000000000001', '2017-01-21']"
2017-01-22,"['5.332999999999999', '7.282', '9.147', '-0.213', '2.888', '4.195', '4.585', '-0.285', '158.0', '422.971', '181.893', '-1.4569999999999999', '0.392', '0.544', '-0.031', '2017-01-22']"
2017-01-23,"['11.729000000000001', '7.6370000000000005', '9.183', '0.446', '6.667999999999999', '4.46', '4.581', '0.48200000000000004', '393.0', '428.861', '178.00799999999998', '-0.201', '0.46299999999999997', '1.439', '0.09699999999999999', '2017-01-23']"
2017-01-24,"['4.552', '7.393', '9.052999999999999', '-0.314', '4.467', '4.3919999999999995', '4.502', '0.017', '623.0', '427.43800000000005', '184.185', '1.062', '0.32299999999999995', '1.636', '0.045', '2017-01-24']"
2017-01-25,"['43.74100000000001', '8.104', '11.505', '3.0980000000000003', '25.761999999999997', '4.766', '6.377000000000001', '3.292', '807.0', '441.16', '202.89700000000002', '1.8030000000000002', '0.33799999999999997', '2.089', '0.032', '2017-01-25']"
2017-01-26,"['22.951999999999998', '8.822000000000001', '11.797', '1.198', '12.561', '5.03', '6.189', '1.217', '623.0', '443.56699999999995', '200.607', '0.894', '0.41100000000000003', '1.567', '0.059000000000000004', '2017-01-26']"
2017-01-27,"['5.79', '8.39', '11.927', '-0.218', '2.625', '4.797', '6.314', '-0.344', '472.0', '445.721', '202.613', '0.13', '0.371', '0.7559999999999999', '0.009000000000000001', '2017-01-27']"
2017-01-28,"['2.044', '8.425', '11.870999999999999', '-0.5379999999999999', '1.9809999999999999', '4.842', '6.269', '-0.456', '342.0', '455.44599999999997', '193.364', '-0.5870000000000001', '0.506', '0.48200000000000004', '0.01', '2017-01-28']"
2017-01-29,"['4.97', '8.087', '11.884', '-0.262', '3.28', '4.61', '6.273', '-0.212', '176.0', '454.954', '196.138', '-1.422', '0.40299999999999997', '0.5329999999999999', '-0.032', '2017-01-29']"
2017-01-30,"['-6.273', '7.056', '12.155999999999999', '-1.097', '-4.258', '3.971', '6.4510000000000005', '-1.276', '461.0', '455.029', '195.954', '0.03', '0.43799999999999994', '1.673', '-0.198', '2017-01-30']"
2017-01-31,"['-1.103', '6.357', '11.902999999999999', '-0.627', '-0.84', '3.737', '6.267', '-0.73', '663.0', '454.356', '203.89', '1.023', '0.379', '1.584', '0.026000000000000002', '2017-01-31']"
2017-02-01,"['5.484', '6.132000000000001', '11.935', '-0.054000000000000006', '3.9419999999999997', '3.7880000000000003', '6.2170000000000005', '0.025', '606.0', '455.199', '205.43200000000002', '0.7340000000000001', '0.38', '1.209', '-0.10099999999999999', '2017-02-01']"
2017-02-02,"['5.69', '5.9510000000000005', '11.965', '-0.022000000000000002', '1.8019999999999998', '3.5639999999999996', '6.229', '-0.28300000000000003', '522.0', '448.968', '200.542', '0.364', '0.354', '1.128', '0.019', '2017-02-02']"
2017-02-03,"['10.67', '5.943', '11.974', '0.395', '7.898', '3.673', '6.305', '0.67', '515.0', '456.392', '200.46200000000002', '0.292', '0.369', '1.2690000000000001', '0.098', '2017-02-03']"
2017-02-04,"['10.642000000000001', '5.797000000000001', '11.960999999999999', '0.405', '4.8260000000000005', '3.3689999999999998', '6.211', '0.235', '351.0', '464.36400000000003', '190.175', '-0.596', '0.45899999999999996', '0.5589999999999999', '-0.008', '2017-02-04']"
2017-02-05,"['4.725', '6.097', '12.104000000000001', '-0.113', '3.28', '3.5469999999999997', '6.227', '-0.043', '188.0', '468.82300000000004', '187.377', '-1.499', '0.39399999999999996', '0.48100000000000004', '0.011000000000000001', '2017-02-05']"
2017-02-06,"['3.3560000000000003', '6.1', '12.099', '-0.22699999999999998', '0.653', '3.4560000000000004', '6.254', '-0.44799999999999995', '256.0', '467.256', '187.90900000000002', '-1.124', '0.49200000000000005', '0.601', '-0.203', '2017-02-06']"
2017-02-07,"['8.927999999999999', '6.776', '11.935', '0.18', '6.781000000000001', '3.911', '6.202999999999999', '0.46299999999999997', '503.0', '461.26099999999997', '189.267', '0.221', '0.358', '1.11', '0.158', '2017-02-07']"
2017-02-08,"['11.623', '7.192', '11.832', '0.375', '7.8260000000000005', '4.22', '6.114', '0.59', '558.0', '464.05199999999996', '190.27599999999998', '0.494', '0.32799999999999996', '1.3519999999999999', '-0.069', '2017-02-08']"
2017-02-09,"['11.03', '8.347000000000001', '10.895999999999999', '0.24600000000000002', '8.566', '4.816', '5.801', '0.6459999999999999', '551.0', '462.293', '189.387', '0.46799999999999997', '0.379', '1.3869999999999998', '0.71', '2017-02-09']"
2017-02-10,"['31.218000000000004', '9.494', '12.154000000000002', '1.787', '17.547', '5.218', '6.563', '1.8780000000000001', '567.0', '462.82800000000003', '188.14', '0.5539999999999999', '0.38799999999999996', '1.5190000000000001', '-0.204', '2017-02-10']"
2017-02-11,"['20.463', '10.49', '13.007', '0.767', '11.175999999999998', '5.678', '6.876', '0.8', '400.0', '477.11400000000003', '176.05700000000002', '-0.43799999999999994', '0.485', '0.63', '0.008', '2017-02-11']"
2017-02-12,"['5.306', '10.276', '13.048', '-0.381', '4.047', '5.596', '6.847', '-0.226', '132.0', '470.181', '187.998', '-1.7990000000000002', '0.455', '0.45799999999999996', '0.019', '2017-02-12']"
2017-02-13,"['9.14', '10.645999999999999', '12.665', '-0.11900000000000001', '6.111000000000001', '5.882999999999999', '6.597', '0.035', '358.0', '454.667', '183.446', '-0.527', '0.42700000000000005', '1.206', '0.111', '2017-02-13']"
2017-02-14,"['22.645', '9.698', '10.622', '1.219', '12.684000000000001', '5.391', '5.477', '1.331', '644.0', '446.096', '181.472', '1.091', '0.349', '1.818', '0.456', '2017-02-14']"
2017-02-15,"['22.608', '9.289', '9.949', '1.339', '12.92', '5.141', '5.069', '1.535', '729.0', '448.592', '184.896', '1.517', '0.324', '2.0180000000000002', '-0.293', '2017-02-15']"
2017-02-16,"['16.483', '9.906', '10.067', '0.653', '6.082000000000001', '5.296', '4.955', '0.159', '697.0', '458.82300000000004', '192.56400000000002', '1.237', '0.36200000000000004', '1.86', '-0.5770000000000001', '2017-02-16']"
2017-02-17,"['12.652000000000001', '10.784', '10.249', '0.182', '5.8839999999999995', '5.82', '5.084', '0.013000000000000001', '604.0', '470.087', '194.80900000000003', '0.687', '0.349', '1.608', '-0.042', '2017-02-17']"
2017-02-18,"['14.65', '11.009', '10.221', '0.35600000000000004', '8.883', '6.0', '5.115', '0.564', '422.0', '482.577', '183.175', '-0.331', '0.46', '0.66', '0.11599999999999999', '2017-02-18']"
2017-02-19,"['2.889', '11.119000000000002', '9.869', '-0.8340000000000001', '2.325', '6.002999999999999', '4.946000000000001', '-0.7440000000000001', '142.0', '476.36800000000005', '195.29', '-1.712', '0.41600000000000004', '0.47600000000000003', '0.051', '2017-02-19']"
2017-02-20,"['3.053', '11.493', '9.46', '-0.892', '0.85', '6.041', '4.915', '-1.056', '213.0', '451.908', '195.25099999999998', '-1.224', '0.42700000000000005', '0.591', '-0.094', '2017-02-20']"
2017-02-21,"['16.17', '12.238', '9.211', '0.42700000000000005', '12.343', '6.56', '5.01', '1.1540000000000001', '392.0', '440.379', '192.90099999999998', '-0.251', '0.436', '1.203', '0.42700000000000005', '2017-02-21']"
2017-02-22,"['24.473000000000003', '12.965', '9.494', '1.212', '12.812000000000001', '6.891', '4.907', '1.206', '582.0', '439.227', '196.32299999999998', '0.727', '0.361', '1.4169999999999998', '-0.049', '2017-02-22']"
2017-02-23,"['-2.53', '12.690999999999999', '10.327', '-1.474', '-4.3180000000000005', '6.6', '5.582999999999999', '-1.956', '532.0', '442.38699999999994', '198.043', '0.452', '0.365', '1.348', '-0.257', '2017-02-23']"
2017-02-24,"['1.3259999999999998', '12.309000000000001', '10.242', '-1.072', '-1.048', '6.513', '5.4239999999999995', '-1.3940000000000001', '624.0', '451.597', '201.308', '0.856', '0.503', '1.6840000000000002', '0.138', '2017-02-24']"
2017-02-25,"['16.479', '12.664000000000001', '10.517999999999999', '0.363', '8.397', '6.694', '5.566', '0.306', '462.0', '465.12', '192.359', '-0.016', '0.45', '0.732', '0.059000000000000004', '2017-02-25']"
2017-02-26,"['2.353', '12.433', '10.677999999999999', '-0.9440000000000001', '0.963', '6.58', '5.672000000000001', '-0.99', '125.0', '463.69', '201.048', '-1.685', '0.504', '0.479', '-0.032', '2017-02-26']"
2017-02-27,"['13.464', '12.932', '10.456', '0.051', '9.464', '6.91', '5.617000000000001', '0.455', '323.0', '455.228', '202.773', '-0.652', '0.46399999999999997', '0.662', '0.284', '2017-02-27']"
2017-02-28,"['3.0069999999999997', '12.277999999999999', '10.703', '-0.866', '2.004', '6.49', '5.672000000000001', '-0.7909999999999999', '482.0', '449.42199999999997', '204.72799999999998', '0.159', '0.38', '0.5820000000000001', '-0.081', '2017-02-28']"
2017-03-01,"['13.77', '12.880999999999998', '10.225', '0.087', '12.110999999999999', '7.147', '5.438', '0.9129999999999999', '742.0', '460.89099999999996', '214.635', '1.31', '0.35', '1.949', '0.408', '2017-03-01']"
2017-03-02,"['18.477999999999998', '11.669', '8.644', '0.7879999999999999', '8.323', '6.313', '4.442', '0.452', '826.0', '467.876', '223.732', '1.601', '0.355', '1.818', '0.053', '2017-03-02']"
2017-03-03,"['-1.492', '10.841', '9.308', '-1.325', '1.198', '5.9879999999999995', '4.64', '-1.032', '561.0', '476.86400000000003', '229.47299999999998', '0.36700000000000005', '0.488', '0.91', '0.161', '2017-03-03']"
