,q1signal,q1signalRolling,lastsignal,position,adjClose,rtnSPY,cRtn-SPY,rtnPort,cRtn-Port
2018-05-30,0.0002823187930127428,3.698813619554423e-05,0.00019682338898276884,0.75,259.7622547033,-0.006125967499464369,-0.0007052556960002176,-0.0045944756245982765,0.13176527005339933
2018-05-31,0.00031470664397850604,0.00034595583976449677,0.0010525909576631002,-1,258.1709595734,0.009817671809363215,0.009105492144398042,-0.009817671809363215,0.12065397006677969
2018-06-01,0.0003386807948472678,7.806686607899033e-05,-3.868965682478822e-05,0,260.7055973252,0.004751461988193428,0.013900218532399311,0.0,0.12065397006677969
2018-06-04,0.00035252032189374646,7.806686607899033e-05,-0.00014888523874878327,0,261.94433006099996,0.0007275372864747887,0.014637868746146587,0.0,0.12065397006677969
2018-06-05,0.00030166537680894885,7.806686607899033e-05,0.0004414611105518465,1.0,262.1349043281,0.008360596146924859,0.023120846202109746,0.008360596146924859,0.13002330533095607
2018-06-06,0.00027612684198496636,-8.61928804581015e-05,-0.0001316961040914148,0,264.3265083992,-0.00010814708018924701,0.023010198669912274,-0.0,0.13002330533095607
2018-06-07,0.00034973721870210745,-8.61928804581015e-05,0.00045549598828766193,1.0,264.2979222591,0.0029563399069556517,0.026034564545462713,0.0029563399069556517,0.133364038324296
2018-06-08,0.0002810316163247889,-8.61928804581015e-05,0.00018313517044343512,0.75,265.07927675400003,0.0013300262412712094,0.02739921744075935,0.000997519680953407,0.13449459125820917
2018-06-11,0.0003105107729000014,-8.61928804581015e-05,0.00039650519094742087,1.0,265.43183914810004,0.001292360711890872,0.028726987824807315,0.001292360711890872,0.13596076749580388
2018-06-12,0.0003167863048844252,2.4719533176010183e-05,0.0005406457441532917,1.0,265.7748728287,-0.0031908791048376184,0.025444444374774555,-0.0031908791048376184,0.13233605401888626
2018-06-13,0.0003024564098962868,0.000288820180695428,0.0007185517964929674,1.0,264.9268173404,0.0025177139154732853,0.028026220121921686,0.0025177139154732853,0.13518695225908162
2018-06-14,0.00032953360937738977,3.363003102246369e-05,-0.00011387510839850774,0,265.593827275,-0.0012714813618404097,0.02671910394355348,-0.0,0.13518695225908162
2018-06-15,0.00037415690127950296,0.000288820180695428,0.0012736813123148693,1,265.2561296738,-0.002056796449042997,0.02460735173639783,-0.002056796449042997,0.13285210376667522
2018-06-18,0.0003232842531546183,0.000288820180695428,0.0009753022956903355,1.0,264.7105518082,-0.0038328030086807185,0.020680233595946174,-0.0038328030086807185,0.12851010481496794
